132	1	1203	235	239
0	99999
0	0	0	120	100	160	92	1	1	0	0
0	115	0	100	235	160	0	2	2	0	0
100	115	0	200	235	160	1	3	3	0	0
120	0	0	240	100	160	2	4	4	0	0
200	115	0	300	235	160	3	5	5	0	0
240	0	0	360	100	160	4	6	6	0	0
300	115	0	400	235	160	5	7	7	0	0
360	0	0	480	100	160	6	8	8	0	0
400	115	0	500	235	160	7	9	9	0	0
480	0	0	600	100	160	8	10	10	0	0
500	115	0	600	235	160	9	11	11	0	0
600	0	0	700	120	160	10	12	12	0	0
600	135	0	720	235	160	11	13	13	0	0
700	0	0	800	120	160	12	14	14	0	0
720	135	0	840	235	160	13	15	15	0	0
800	0	0	900	120	160	14	16	16	0	0
840	135	0	960	235	160	15	17	17	0	0
900	0	0	1000	120	160	16	18	18	0	0
960	135	0	1080	235	160	17	19	19	0	0
1000	0	0	1100	120	160	18	20	20	0	0
1080	135	0	1200	235	160	19	21	21	0	0
1100	0	0	1200	120	160	20	22	22	0	0
0	0	0	120	100	160	75	1	1	0	1
0	115	0	100	235	160	21	2	2	0	1
100	115	0	200	235	160	22	3	3	0	1
120	0	0	240	100	160	23	4	4	0	1
200	115	0	300	235	160	24	5	5	0	1
240	0	0	360	100	160	25	6	6	0	1
300	115	0	400	235	160	26	7	7	0	1
360	0	0	480	100	160	27	8	8	0	1
400	115	0	500	235	160	28	9	9	0	1
480	0	0	600	100	160	29	10	10	0	1
500	115	0	600	235	160	30	11	11	0	1
600	0	0	700	120	160	31	12	12	0	1
600	135	0	720	235	160	32	13	13	0	1
700	0	0	800	120	160	33	14	14	0	1
720	135	0	840	235	160	34	15	15	0	1
800	0	0	900	120	160	35	16	16	0	1
840	135	0	960	235	160	36	17	17	0	1
900	0	0	1000	120	160	37	18	18	0	1
960	135	0	1080	235	160	38	19	19	0	1
1000	0	0	1100	120	160	39	20	20	0	1
1080	135	0	1200	235	160	40	21	21	0	1
1100	0	0	1200	120	160	41	22	22	0	1
0	0	0	120	100	160	131	1	1	1	2
0	115	0	100	235	160	130	2	2	1	2
100	115	0	200	235	160	129	3	3	1	2
120	0	0	240	100	160	127	4	4	1	2
200	115	0	300	235	160	128	5	5	1	2
240	0	0	360	100	160	126	6	6	1	2
300	115	0	400	235	160	125	7	7	1	2
360	0	0	480	100	160	123	8	8	1	2
400	115	0	500	235	160	124	9	9	1	2
0	0	0	120	100	160	106	1	1	1	3
0	115	0	100	235	160	42	2	2	1	3
100	115	0	200	235	160	43	3	3	1	3
120	0	0	240	100	160	44	4	4	1	3
200	115	0	300	235	160	45	5	5	1	3
240	0	0	360	100	160	46	6	6	1	3
300	115	0	400	235	160	47	7	7	1	3
360	0	0	480	100	160	48	8	8	1	3
400	115	0	500	235	160	49	9	9	1	3
509	0	0	629	100	160	50	10	0	1	132
630	0	0	750	100	160	51	11	0	1	132
751	0	0	871	100	160	52	12	0	1	132
872	0	0	992	100	160	53	13	0	1	132
993	0	0	1113	100	160	54	14	0	1	132
1114	0	0	1234	100	160	55	15	0	1	132
1235	0	0	1355	100	160	56	16	0	1	132
1356	0	0	1476	100	160	57	17	0	1	132
1477	0	0	1597	100	160	58	18	0	1	132
1598	0	0	1718	100	160	59	19	0	1	132
1719	0	0	1839	100	160	60	20	0	1	132
1840	0	0	1960	100	160	61	21	0	1	132
1961	0	0	2081	100	160	62	22	0	1	132
2082	0	0	2202	100	160	63	23	0	1	132
2203	0	0	2323	100	160	64	24	0	1	132
2324	0	0	2444	100	160	65	25	0	1	132
2445	0	0	2565	100	160	66	26	0	1	132
2566	0	0	2686	100	160	67	27	0	1	132
2687	0	0	2807	100	160	68	28	0	1	132
2808	0	0	2928	100	160	69	29	0	1	132
2929	0	0	3049	100	160	70	30	0	1	132
3050	0	0	3170	100	160	71	31	0	1	132
3171	0	0	3291	100	160	72	32	0	1	132
3292	0	0	3412	100	160	73	33	0	1	132
3413	0	0	3533	100	160	74	34	0	1	132
3534	0	0	3654	100	160	76	35	0	1	132
3655	0	0	3775	100	160	77	36	0	1	132
3776	0	0	3896	100	160	78	37	0	1	132
3897	0	0	4017	100	160	79	38	0	1	132
4018	0	0	4138	100	160	80	39	0	1	132
4139	0	0	4259	100	160	81	40	0	1	132
4260	0	0	4380	100	160	82	41	0	1	132
4381	0	0	4501	100	160	83	42	0	1	132
